"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Employment income","Both sexes",9325,10795,6415,7805,28355,32964,16.3
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Employment income","Males",4460,5160,3270,3965,37175,41610,11.9
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Employment income","Females",4865,5630,3150,3845,21162,26950,27.4
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Total income","Both sexes",25745,26930,24525,26000,25297,32629,29.0
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Total income","Males",12275,12925,11700,12510,32609,39448,21.0
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Total income","Females",13470,14000,12830,13490,19955,27192,36.3
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","After-tax income","Both sexes",25745,26930,24510,26005,22988,29505,28.3
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","After-tax income","Males",12275,12925,11700,12505,28552,34873,22.1
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","After-tax income","Females",13470,14000,12810,13495,18954,24932,31.5
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Employment income","Both sexes",25745,26930,16805,18060,24660,31257,26.8
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Employment income","Males",12275,12925,8565,9080,30587,38059,24.4
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Employment income","Females",13470,14000,8240,8975,19188,26541,38.3
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Total income","Both sexes",48745,56525,47305,54600,28270,33116,17.1
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Total income","Males",22805,26785,22250,25855,33280,37413,12.4
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Total income","Females",25945,29740,25060,28745,24516,29791,21.5
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","After-tax income","Both sexes",48745,56525,47320,54615,25371,29389,15.8
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","After-tax income","Males",22805,26785,22245,25855,29175,32561,11.6
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","After-tax income","Females",25945,29740,25075,28755,22654,26747,18.1
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Employment income","Both sexes",48745,56525,36270,41670,25965,29105,12.1
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Employment income","Males",22805,26785,17880,20590,29011,32329,11.4
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Employment income","Females",25945,29740,18390,21085,23637,26539,12.3
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Total income","Both sexes",12995,13585,12490,13145,26488,29880,12.8
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Total income","Males",6030,6385,5765,6155,31865,34811,9.2
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Total income","Females",6970,7200,6725,6995,22237,26094,17.3
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","After-tax income","Both sexes",12995,13585,12495,13150,23743,26927,13.4
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","After-tax income","Males",6030,6385,5765,6155,27935,30626,9.6
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","After-tax income","Females",6970,7200,6730,6995,21034,23851,13.4
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Employment income","Both sexes",12995,13585,8990,9420,24284,26754,10.2
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Employment income","Males",6030,6385,4320,4675,28814,30368,5.4
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Employment income","Females",6970,7200,4670,4745,21335,23959,12.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Total income","Both sexes",11755,10965,11165,10615,23606,27965,18.5
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Total income","Males",5505,5230,5250,5050,29941,32525,8.6
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Total income","Females",6245,5730,5915,5560,19919,24381,22.4
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","After-tax income","Both sexes",11755,10965,11170,10615,21982,25801,17.4
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","After-tax income","Males",5505,5230,5250,5055,27192,29305,7.8
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","After-tax income","Females",6245,5730,5920,5565,19119,22999,20.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Employment income","Both sexes",11755,10965,7415,6830,21851,26280,20.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Employment income","Males",5505,5230,3790,3455,28163,29003,3.0
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Employment income","Females",6245,5730,3630,3375,18605,24320,30.7
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Total income","Both sexes",307875,337210,293740,323835,32165,36089,12.2
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Total income","Males",146080,161965,139920,155495,39900,42874,7.5
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Total income","Females",161785,175250,153820,168335,25908,31004,19.7
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","After-tax income","Both sexes",307875,337210,293740,323945,28631,31754,10.9
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","After-tax income","Males",146080,161965,139895,155510,34204,36910,7.9
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","After-tax income","Females",161785,175250,153845,168435,23689,27847,17.6
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Employment income","Both sexes",307875,337210,224045,243395,32165,34240,6.5
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Employment income","Males",146080,161965,112550,121810,38707,40169,3.8
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Employment income","Females",161785,175250,111495,121580,26521,29594,11.6
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Total income","Both sexes",21260,21905,20315,21010,24791,29378,18.5
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Total income","Males",10115,10460,9710,9980,33049,35379,7.1
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Total income","Females",11145,11445,10610,11030,19839,24901,25.5
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","After-tax income","Both sexes",21260,21905,20315,21015,22878,26753,16.9
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","After-tax income","Males",10115,10460,9715,9980,29091,31214,7.3
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","After-tax income","Females",11145,11445,10595,11035,18943,23224,22.6
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Employment income","Both sexes",21260,21905,14330,14365,24533,27106,10.5
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Employment income","Males",10115,10460,7280,7255,32052,31808,-0.8
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Employment income","Females",11145,11445,7050,7115,19034,23808,25.1
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Total income","Both sexes",36935,37960,35225,36535,25405,29986,18.0
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Total income","Males",17695,18185,17030,17490,33154,37228,12.3
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Total income","Females",19245,19775,18195,19040,20545,24764,20.5
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","After-tax income","Both sexes",36935,37960,35235,36545,23273,27145,16.6
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","After-tax income","Males",17695,18185,17030,17490,29276,32570,11.3
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","After-tax income","Females",19245,19775,18205,19055,19524,23127,18.5
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Employment income","Both sexes",36935,37960,24655,25380,25296,29208,15.5
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Employment income","Males",17695,18185,12790,12830,32813,36105,10.0
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Employment income","Females",19245,19775,11870,12550,19181,24044,25.4
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Total income","Both sexes",29870,28560,28230,27345,24335,30411,25.0
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Total income","Males",14160,13635,13585,13065,33971,36754,8.2
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Total income","Females",15715,14915,14645,14280,19220,25210,31.2
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","After-tax income","Both sexes",29870,28560,28230,27355,22741,27607,21.4
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","After-tax income","Males",14160,13635,13585,13065,29846,32453,8.7
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","After-tax income","Females",15715,14915,14645,14290,18670,23409,25.4
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Employment income","Both sexes",29870,28560,19165,18665,24344,27252,11.9
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Employment income","Males",14160,13635,10110,9435,33749,32585,-3.4
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Employment income","Females",15715,14915,9055,9230,17714,23435,32.3
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Total income","Both sexes",87740,83215,82710,79755,23730,28457,19.9
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Total income","Males",40920,39170,38690,37480,30159,33172,10.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Total income","Females",46825,44050,44015,42280,19880,24730,24.4
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","After-tax income","Both sexes",87740,83215,82725,79770,22055,26310,19.3
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","After-tax income","Males",40920,39170,38695,37480,27130,29936,10.3
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","After-tax income","Females",46825,44050,44020,42295,19189,23474,22.3
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Employment income","Both sexes",87740,83215,50685,50080,22402,26768,19.5
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Employment income","Males",40920,39170,25235,24525,26041,30519,17.2
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Employment income","Females",46825,44050,25450,25555,18897,23951,26.7
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Total income","Both sexes",2425,2080,2240,1980,18209,21984,20.7
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Total income","Males",1185,950,1100,905,19046,23936,25.7
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Total income","Females",1245,1130,1145,1080,16894,20992,24.3
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","After-tax income","Both sexes",2425,2080,2240,1980,18101,21595,19.3
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","After-tax income","Males",1185,950,1095,900,18781,23040,22.7
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","After-tax income","Females",1245,1130,1150,1080,16855,20640,22.5
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Employment income","Both sexes",2425,2080,1390,1220,18695,20896,11.8
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Employment income","Males",1185,950,740,570,17403,21824,25.4
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Employment income","Females",1245,1130,650,650,20713,19648,-5.1
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Total income","Both sexes",1100,1405,1065,1345,26039,27520,5.7
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Total income","Males",555,680,550,665,34086,31808,-6.7
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Total income","Females",550,725,520,685,20469,24032,17.4
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","After-tax income","Both sexes",1100,1405,1065,1345,24132,25280,4.8
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","After-tax income","Males",555,680,545,665,29507,28608,-3.0
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","After-tax income","Females",550,725,520,680,19957,23061,15.6
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Employment income","Both sexes",1100,1405,700,910,26826,26816,0.0
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Employment income","Males",555,680,385,470,33957,31936,-6.0
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Employment income","Females",550,725,315,435,17008,22384,31.6
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Total income","Both sexes",233515,266210,221865,256040,35960,39339,9.4
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Total income","Males",113260,129700,107910,124635,40719,42493,4.4
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Total income","Females",120255,136510,113955,131410,31618,36435,15.2
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","After-tax income","Both sexes",233515,266210,221850,256120,31853,34056,6.9
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","After-tax income","Males",113260,129700,107905,124640,35090,36329,3.5
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","After-tax income","Females",120255,136510,113945,131485,29012,31936,10.1
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Employment income","Both sexes",233515,266210,170380,192415,38103,37650,-1.2
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Employment income","Males",113260,129700,86475,97305,41949,40128,-4.3
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Employment income","Females",120255,136510,83905,95110,35323,35291,-0.1
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Total income","Both sexes",104205,118825,100375,114270,29597,33587,13.5
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Total income","Males",49670,57275,48185,54875,35813,39174,9.4
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Total income","Females",54540,61550,52185,59395,23968,28770,20.0
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","After-tax income","Both sexes",104205,118825,100375,114315,26387,30081,14.0
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","After-tax income","Males",49670,57275,48185,54880,31051,34364,10.7
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","After-tax income","Females",54540,61550,52195,59435,22157,26290,18.7
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Employment income","Both sexes",104205,118825,75975,86505,29664,31881,7.5
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Employment income","Males",49670,57275,38575,43885,34589,36358,5.1
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Employment income","Females",54540,61550,37400,42610,24909,28042,12.6
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Total income","Both sexes",99920,103260,94895,98060,28701,33488,16.7
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Total income","Males",47260,49455,44965,46840,37080,41556,12.1
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Total income","Females",52665,53800,49925,51220,23147,27507,18.8
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","After-tax income","Both sexes",99920,103260,94860,98095,25904,30105,16.2
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","After-tax income","Males",47260,49455,44955,46845,32358,36313,12.2
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","After-tax income","Females",52665,53800,49905,51250,21477,25333,18.0
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Employment income","Both sexes",99920,103260,68510,71070,29576,33302,12.6
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Employment income","Males",47260,49455,35045,35975,36394,40408,11.0
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Employment income","Females",52665,53800,33460,35095,24202,27521,13.7
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Total income","Both sexes",74080,83740,71200,79585,30122,34929,16.0
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Total income","Males",35485,40515,34265,38455,36760,41572,13.1
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Total income","Females",38595,43225,36930,41135,25013,29306,17.2
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","After-tax income","Both sexes",74080,83740,71215,79620,26938,31181,15.8
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","After-tax income","Males",35485,40515,34260,38450,31878,36359,14.1
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","After-tax income","Females",38595,43225,36955,41165,22907,26771,16.9
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Employment income","Both sexes",74080,83740,54310,59855,29349,32862,12.0
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Employment income","Males",35485,40515,27765,30450,34395,38562,12.1
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Employment income","Females",38595,43225,26550,29400,24748,27944,12.9
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Total income","Both sexes",27075,26620,25765,25635,24296,28701,18.1
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Total income","Males",13195,13005,12770,12570,31565,35428,12.2
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Total income","Females",13880,13620,13000,13065,18940,23163,22.3
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","After-tax income","Both sexes",27075,26620,25785,25650,22308,26255,17.7
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","After-tax income","Males",13195,13005,12765,12575,28170,31814,12.9
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","After-tax income","Females",13880,13620,13015,13075,18194,21799,19.8
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Employment income","Both sexes",27075,26620,17520,16875,23751,26564,11.8
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Employment income","Males",13195,13005,9300,8965,30719,29579,-3.7
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Employment income","Females",13880,13620,8220,7910,19454,24192,24.4
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Total income","Both sexes",23740,23195,22585,22295,24392,30172,23.7
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Total income","Males",11420,11030,10945,10615,32676,37248,14.0
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Total income","Females",12325,12165,11640,11685,19233,24955,29.8
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","After-tax income","Both sexes",23740,23195,22610,22295,22633,27670,22.3
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","After-tax income","Males",11420,11030,10945,10610,29354,33190,13.1
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","After-tax income","Females",12325,12165,11660,11685,18479,23481,27.1
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Employment income","Both sexes",23740,23195,15620,15020,22018,27325,24.1
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Employment income","Males",11420,11030,8225,7590,27614,31782,15.1
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Employment income","Females",12325,12165,7400,7435,17709,24038,35.7
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Total income","Both sexes",14180,13045,13410,12590,22774,27081,18.9
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Total income","Males",6685,6180,6345,5955,28837,31194,8.2
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Total income","Females",7495,6865,7065,6640,19737,23872,21.0
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","After-tax income","Both sexes",14180,13045,13410,12595,21358,25160,17.8
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","After-tax income","Males",6685,6180,6345,5955,26390,28483,7.9
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","After-tax income","Females",7495,6865,7065,6640,18912,22650,19.8
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Employment income","Both sexes",14180,13045,8805,8055,21456,25489,18.8
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Employment income","Males",6685,6180,4525,4020,25745,28048,8.9
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Employment income","Females",7495,6865,4280,4030,18926,23752,25.5
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","Total income","Both sexes",20015,19425,19245,18860,25992,29922,15.1
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","Total income","Males",9610,9450,9355,9225,34908,36446,4.4
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","Total income","Females",10405,9980,9890,9635,19995,24339,21.7
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","After-tax income","Both sexes",20015,19425,19245,18870,23917,27280,14.1
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","After-tax income","Males",9610,9450,9360,9225,30515,32426,6.3
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","After-tax income","Females",10405,9980,9890,9645,19253,22854,18.7
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","Employment income","Both sexes",20015,19425,13485,13110,27652,28544,3.2
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","Employment income","Males",9610,9450,7010,6900,34953,33720,-3.5
"335","Edmundston","CA","New Brunswick","13","",4.5,"00000","Employment income","Females",10405,9980,6475,6210,20481,24591,20.1
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24",4.8,"00000","Total income","Both sexes",8710,8535,8235,8255,23274,25317,8.8
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24",4.8,"00000","Total income","Males",4100,4005,3900,3875,32193,30795,-4.3
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24",4.8,"00000","Total income","Females",4605,4535,4340,4375,19300,21490,11.3
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24",4.8,"00000","After-tax income","Both sexes",8710,8535,8235,8255,22130,23950,8.2
