"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Total income","Both sexes",17675,17440,16400,16630,19556,24582,25.7
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Total income","Males",8585,8450,8055,8075,24129,29899,23.9
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Total income","Females",9090,8985,8345,8550,17705,21339,20.5
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","After-tax income","Both sexes",17675,17440,16405,16635,18634,23172,24.4
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","After-tax income","Males",8585,8450,8055,8080,21903,27432,25.2
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","After-tax income","Females",9090,8985,8350,8560,17045,20497,20.3
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Employment income","Both sexes",17675,17440,9410,9525,16689,23695,42.0
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Employment income","Males",8585,8450,4920,4885,19651,29536,50.3
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Employment income","Females",9090,8985,4490,4635,13618,20608,51.3
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Total income","Both sexes",33945,35565,32275,34355,23417,30911,32.0
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Total income","Males",16300,17145,15550,16620,31255,38767,24.0
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Total income","Females",17645,18420,16725,17740,18804,25027,33.1
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","After-tax income","Both sexes",33945,35565,32260,34370,21589,28124,30.3
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","After-tax income","Males",16300,17145,15550,16625,27608,34486,24.9
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","After-tax income","Females",17645,18420,16715,17745,18066,23274,28.8
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Employment income","Both sexes",33945,35565,21780,23400,21981,29576,34.6
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Employment income","Males",16300,17145,11205,11910,28768,37297,29.6
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Employment income","Females",17645,18420,10580,11485,17168,24241,41.2
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Total income","Both sexes",29870,32125,27985,30895,23161,30349,31.0
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Total income","Males",14270,15430,13555,14865,32628,39469,21.0
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Total income","Females",15600,16695,14425,16035,18562,24190,30.3
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","After-tax income","Both sexes",29870,32125,27990,30920,21633,27784,28.4
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","After-tax income","Males",14270,15430,13550,14865,28779,35067,21.8
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","After-tax income","Females",15600,16695,14435,16050,17759,22712,27.9
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Employment income","Both sexes",29870,32125,18415,20955,22417,28896,28.9
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Employment income","Males",14270,15430,9660,10680,30393,37717,24.1
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Employment income","Females",15600,16695,8755,10280,17901,23473,31.1
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Total income","Both sexes",30010,29210,28425,28235,19501,26717,37.0
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Total income","Males",14670,14325,14125,13935,27661,36083,30.4
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Total income","Females",15340,14880,14295,14295,15729,20916,33.0
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","After-tax income","Both sexes",30010,29210,28440,28245,18552,24756,33.4
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","After-tax income","Males",14670,14325,14125,13935,24713,32347,30.9
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","After-tax income","Females",15340,14880,14315,14305,15582,20185,29.5
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Employment income","Both sexes",30010,29210,17755,18580,15353,23482,52.9
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Employment income","Males",14670,14325,9695,9860,20909,32453,55.2
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Employment income","Females",15340,14880,8060,8725,12167,17469,43.6
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Total income","Both sexes",33140,31085,30895,29800,19317,23825,23.3
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Total income","Males",16440,15380,15695,14910,26133,33676,28.9
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Total income","Females",16700,15710,15205,14890,15737,19183,21.9
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","After-tax income","Both sexes",33140,31085,30905,29805,18472,22543,22.0
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","After-tax income","Males",16440,15380,15690,14905,23480,30551,30.1
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","After-tax income","Females",16700,15710,15215,14900,15473,18790,21.4
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Employment income","Both sexes",33140,31085,19505,18460,13850,21046,52.0
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Employment income","Males",16440,15380,10825,10040,17716,30995,75.0
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Employment income","Females",16700,15710,8675,8420,11083,14538,31.2
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Total income","Both sexes",15410,13585,14585,13210,20487,27603,34.7
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Total income","Males",7595,6610,7195,6455,27526,34391,24.9
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Total income","Females",7815,6975,7390,6750,16626,23189,39.5
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","After-tax income","Both sexes",15410,13585,14585,13215,19330,25250,30.6
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","After-tax income","Males",7595,6610,7190,6460,24358,30822,26.5
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","After-tax income","Females",7815,6975,7395,6750,16176,21656,33.9
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Employment income","Both sexes",15410,13585,10130,9215,13280,19816,49.2
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Employment income","Males",7595,6610,5270,4695,17421,27733,59.2
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Employment income","Females",7815,6975,4860,4525,10186,14979,47.1
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Total income","Both sexes",18970,19565,17915,18815,29490,45133,53.0
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Total income","Males",9575,9835,9065,9545,45005,68027,51.2
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Total income","Females",9395,9730,8850,9270,19680,32039,62.8
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","After-tax income","Both sexes",18970,19565,17925,18825,26780,39722,48.3
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","After-tax income","Males",9575,9835,9065,9540,38730,56850,46.8
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","After-tax income","Females",9395,9730,8860,9280,18614,28900,55.3
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Employment income","Both sexes",18970,19565,14945,15765,27740,47749,72.1
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Employment income","Males",9575,9835,7960,8470,44616,71424,60.1
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Employment income","Females",9395,9730,6985,7295,17647,32294,83.0
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Total income","Both sexes",1805,1995,1645,1900,22219,26325,18.5
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Total income","Males",920,1020,850,980,25600,28685,12.1
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Total income","Females",890,980,795,925,19546,24213,23.9
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","After-tax income","Both sexes",1805,1995,1640,1905,20646,24608,19.2
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","After-tax income","Males",920,1020,850,980,23104,26432,14.4
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","After-tax income","Females",890,980,790,925,19056,23147,21.5
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Employment income","Both sexes",1805,1995,1330,1440,18368,25899,41.0
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Employment income","Males",920,1020,695,755,20144,27968,38.8
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Employment income","Females",890,980,635,685,16416,24128,47.0
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Total income","Both sexes",15015,14195,14575,13765,24862,30192,21.4
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Total income","Males",7420,7000,7240,6800,30136,33735,11.9
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Total income","Females",7595,7200,7330,6965,21124,27025,27.9
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","After-tax income","Both sexes",15015,14195,14570,13765,22842,26946,18.0
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","After-tax income","Males",7420,7000,7240,6795,26340,29834,13.3
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","After-tax income","Females",7595,7200,7325,6965,19715,24655,25.1
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Employment income","Both sexes",15015,14195,11180,10330,18775,23223,23.7
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Employment income","Males",7420,7000,5845,5345,21774,25698,18.0
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Employment income","Females",7595,7200,5335,4985,15534,20812,34.0
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Total income","Both sexes",58595,66815,56910,64645,27482,32871,19.6
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Total income","Males",27710,31855,27060,30820,32427,37261,14.9
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Total income","Females",30885,34965,29850,33830,23685,29317,23.8
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","After-tax income","Both sexes",58595,66815,56900,64655,24839,29162,17.4
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","After-tax income","Males",27710,31855,27045,30820,28264,32426,14.7
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","After-tax income","Females",30885,34965,29855,33835,21954,26438,20.4
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Employment income","Both sexes",58595,66815,43525,49435,25207,28521,13.1
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Employment income","Males",27710,31855,21775,24585,27935,31711,13.5
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Employment income","Females",30885,34965,21750,24845,22615,25896,14.5
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Total income","Both sexes",35735,36045,34410,35075,25885,30609,18.2
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Total income","Males",17265,17515,16685,17025,30542,35088,14.9
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Total income","Females",18470,18535,17720,18050,21604,26525,22.8
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","After-tax income","Both sexes",35735,36045,34415,35080,23347,27448,17.6
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","After-tax income","Males",17265,17515,16685,17025,27031,30680,13.5
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","After-tax income","Females",18470,18535,17725,18060,20265,24221,19.5
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Employment income","Both sexes",35735,36045,25645,26270,21845,25470,16.6
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Employment income","Males",17265,17515,13030,13460,24703,28659,16.0
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Employment income","Females",18470,18535,12620,12810,18513,22770,23.0
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Total income","Both sexes",12875,11945,12185,11580,22624,28919,27.8
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Total income","Males",6310,5875,6100,5725,33559,40275,20.0
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Total income","Females",6560,6065,6085,5855,17088,21544,26.1
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","After-tax income","Both sexes",12875,11945,12185,11580,21109,26262,24.4
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","After-tax income","Males",6310,5875,6100,5725,29328,34913,19.0
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","After-tax income","Females",6560,6065,6090,5860,16771,20641,23.1
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Employment income","Both sexes",12875,11945,8460,7940,20595,27099,31.6
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Employment income","Males",6310,5875,4760,4235,28835,38298,32.8
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Employment income","Females",6560,6065,3700,3705,14157,19247,36.0
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Total income","Both sexes",21410,20535,20395,19880,23522,28403,20.8
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Total income","Males",10180,9830,9805,9550,32443,34994,7.9
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Total income","Females",11225,10710,10590,10330,18527,23825,28.6
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","After-tax income","Both sexes",21410,20535,20405,19880,21975,25825,17.5
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","After-tax income","Males",10180,9830,9810,9555,29508,30944,4.9
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","After-tax income","Females",11225,10710,10590,10335,18087,22372,23.7
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Employment income","Both sexes",21410,20535,13980,13810,23867,26688,11.8
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Employment income","Males",10180,9830,7245,7085,31866,32428,1.8
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Employment income","Females",11225,10710,6735,6720,16830,21686,28.9
"1203","Digby","County","Nova Scotia","12",4.2,"00000","Total income","Both sexes",15890,15050,15230,14635,21981,25714,17.0
"1203","Digby","County","Nova Scotia","12",4.2,"00000","Total income","Males",7660,7270,7445,7115,29005,31207,7.6
"1203","Digby","County","Nova Scotia","12",4.2,"00000","Total income","Females",8225,7780,7790,7520,18230,22042,20.9
"1203","Digby","County","Nova Scotia","12",4.2,"00000","After-tax income","Both sexes",15890,15050,15230,14640,20537,23961,16.7
"1203","Digby","County","Nova Scotia","12",4.2,"00000","After-tax income","Males",7660,7270,7445,7115,25838,28046,8.5
"1203","Digby","County","Nova Scotia","12",4.2,"00000","After-tax income","Females",8225,7780,7790,7525,17583,20890,18.8
"1203","Digby","County","Nova Scotia","12",4.2,"00000","Employment income","Both sexes",15890,15050,10350,9640,20711,23215,12.1
"1203","Digby","County","Nova Scotia","12",4.2,"00000","Employment income","Males",7660,7270,5445,4960,26438,27904,5.5
"1203","Digby","County","Nova Scotia","12",4.2,"00000","Employment income","Females",8225,7780,4900,4685,15941,19657,23.3
"1204","Queens","County","Nova Scotia","12",4.8,"00000","Total income","Both sexes",9390,8985,8810,8580,22106,25104,13.6
"1204","Queens","County","Nova Scotia","12",4.8,"00000","Total income","Males",4540,4375,4330,4185,31996,32727,2.3
"1204","Queens","County","Nova Scotia","12",4.8,"00000","Total income","Females",4850,4615,4480,4390,17170,20507,19.4
"1204","Queens","County","Nova Scotia","12",4.8,"00000","After-tax income","Both sexes",9390,8985,8805,8590,20696,23557,13.8
"1204","Queens","County","Nova Scotia","12",4.8,"00000","After-tax income","Males",4540,4375,4330,4185,28654,29748,3.8
"1204","Queens","County","Nova Scotia","12",4.8,"00000","After-tax income","Females",4850,4615,4480,4400,16643,19853,19.3
"1204","Queens","County","Nova Scotia","12",4.8,"00000","Employment income","Both sexes",9390,8985,5410,4915,22173,23696,6.9
"1204","Queens","County","Nova Scotia","12",4.8,"00000","Employment income","Males",4540,4375,2895,2550,29062,27541,-5.2
"1204","Queens","County","Nova Scotia","12",4.8,"00000","Employment income","Females",4850,4615,2510,2365,15919,20800,30.7
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","Total income","Both sexes",17855,17575,17015,16810,22096,25799,16.8
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","Total income","Males",8605,8555,8335,8225,28764,32123,11.7
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","Total income","Females",9250,9020,8680,8590,18647,21250,14.0
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","After-tax income","Both sexes",17855,17575,17015,16825,20676,23945,15.8
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","After-tax income","Males",8605,8555,8330,8225,26173,29005,10.8
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","After-tax income","Females",9250,9020,8680,8600,17941,20345,13.4
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","Employment income","Both sexes",17855,17575,10740,10420,20873,22107,5.9
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","Employment income","Males",8605,8555,5680,5425,25423,25956,2.1
"1205","Annapolis","County","Nova Scotia","12",4.5,"00000","Employment income","Females",9250,9020,5055,4990,17034,18768,10.2
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","Total income","Both sexes",39855,40535,37920,39115,23917,28516,19.2
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","Total income","Males",19430,19705,18685,19115,32336,35750,10.6
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","Total income","Females",20430,20830,19230,20000,18651,23333,25.1
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","After-tax income","Both sexes",39855,40535,37880,39140,22196,26064,17.4
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","After-tax income","Males",19430,19705,18675,19120,28942,31850,10.0
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","After-tax income","Females",20430,20830,19200,20015,17867,21922,22.7
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","Employment income","Both sexes",39855,40535,25450,25525,23161,25774,11.3
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","Employment income","Males",19430,19705,13675,13330,30784,30737,-0.2
"1206","Lunenburg","County","Nova Scotia","12",4.0,"00000","Employment income","Females",20430,20830,11770,12195,17952,22146,23.4
"1207","Kings","County","Nova Scotia","12",4.0,"00000","Total income","Both sexes",48690,50335,46190,48215,24854,29753,19.7
"1207","Kings","County","Nova Scotia","12",4.0,"00000","Total income","Males",23410,24265,22345,23205,34165,36779,7.7
"1207","Kings","County","Nova Scotia","12",4.0,"00000","Total income","Females",25280,26070,23845,25010,19212,24529,27.7
"1207","Kings","County","Nova Scotia","12",4.0,"00000","After-tax income","Both sexes",48690,50335,46185,48245,22874,27032,18.2
"1207","Kings","County","Nova Scotia","12",4.0,"00000","After-tax income","Males",23410,24265,22350,23205,30195,32468,7.5
"1207","Kings","County","Nova Scotia","12",4.0,"00000","After-tax income","Females",25280,26070,23835,25040,18472,22864,23.8
"1207","Kings","County","Nova Scotia","12",4.0,"00000","Employment income","Both sexes",48690,50335,32390,32970,24790,27289,10.1
"1207","Kings","County","Nova Scotia","12",4.0,"00000","Employment income","Males",23410,24265,16840,16870,32617,33419,2.5
"1207","Kings","County","Nova Scotia","12",4.0,"00000","Employment income","Females",25280,26070,15550,16105,18239,22739,24.7
"1208","Hants","County","Nova Scotia","12",3.5,"00000","Total income","Both sexes",33115,34910,31290,33280,27607,32670,18.3
"1208","Hants","County","Nova Scotia","12",3.5,"00000","Total income","Males",16235,16975,15565,16215,37810,41643,10.1
"1208","Hants","County","Nova Scotia","12",3.5,"00000","Total income","Females",16880,17940,15730,17065,19894,25757,29.5
"1208","Hants","County","Nova Scotia","12",3.5,"00000","After-tax income","Both sexes",33115,34910,31295,33290,24953,29327,17.5
"1208","Hants","County","Nova Scotia","12",3.5,"00000","After-tax income","Males",16235,16975,15565,16215,32738,36032,10.1
"1208","Hants","County","Nova Scotia","12",3.5,"00000","After-tax income","Females",16880,17940,15725,17080,18917,23783,25.7
"1208","Hants","County","Nova Scotia","12",3.5,"00000","Employment income","Both sexes",33115,34910,22415,23960,29647,32473,9.5
"1208","Hants","County","Nova Scotia","12",3.5,"00000","Employment income","Males",16235,16975,11905,12420,38528,40715,5.7
"1208","Hants","County","Nova Scotia","12",3.5,"00000","Employment income","Females",16880,17940,10515,11545,21286,25927,21.8
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","Total income","Both sexes",307870,337215,293740,323835,32165,36089,12.2
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","Total income","Males",146085,161965,139920,155495,39900,42874,7.5
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","Total income","Females",161790,175250,153820,168340,25908,31004,19.7
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","After-tax income","Both sexes",307870,337215,293740,323950,28631,31754,10.9
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","After-tax income","Males",146085,161965,139895,155510,34204,36910,7.9
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","After-tax income","Females",161790,175250,153845,168435,23689,27847,17.6
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","Employment income","Both sexes",307870,337215,224045,243400,32165,34240,6.5
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","Employment income","Males",146085,161965,112555,121810,38707,40169,3.8
"1209","Halifax","County","Nova Scotia","12",3.7,"00000","Employment income","Females",161790,175250,111495,121585,26521,29594,11.6
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","Total income","Both sexes",41060,42100,39235,40510,25082,29748,18.6
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","Total income","Males",19670,20190,18975,19430,32892,37159,13.0
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","Total income","Females",21390,21910,20260,21085,20292,24530,20.9
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","After-tax income","Both sexes",41060,42100,39240,40530,23015,27036,17.5
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","After-tax income","Males",19670,20190,18980,19430,29108,32572,11.9
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","After-tax income","Females",21390,21910,20265,21100,19274,22917,18.9
"1210","Colchester","County","Nova Scotia","12",3.8,"00000","Employment income","Both sexes",41060,42100,27330,28045,24874,29019,16.7
