"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2220,2135,550,395,24.8,18.5,-6.3
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",660,600,155,115,23.5,19.2,-4.3
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",6865,6760,1410,870,20.5,12.9,-7.6
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",1390,2140,415,570,29.9,26.6,-3.3
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",10465,11030,1150,515,11.0,4.7,-6.3
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2215,2135,320,105,14.4,4.9,-9.5
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",655,600,100,35,15.3,5.8,-9.5
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",6865,6760,790,380,11.5,5.6,-5.9
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",1390,2140,40,30,2.9,1.4,-1.5
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",13345,13865,2600,2365,19.5,17.1,-2.4
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2705,2530,685,545,25.3,21.5,-3.8
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",825,720,205,180,24.8,25.0,0.2
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",8675,8550,1610,1280,18.6,15.0,-3.6
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",1965,2790,310,535,15.8,19.2,3.4
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",13345,13865,1270,875,9.5,6.3,-3.2
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2710,2530,370,205,13.7,8.1,-5.6
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",825,720,145,70,17.6,9.7,-7.9
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",8675,8550,870,635,10.0,7.4,-2.6
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",1965,2790,35,35,1.8,1.3,-0.5
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",11335,12965,1770,1610,15.6,12.4,-3.2
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2490,2630,555,415,22.3,15.8,-6.5
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",780,770,205,145,26.3,18.8,-7.5
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",7430,8170,1060,865,14.3,10.6,-3.7
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",1420,2165,165,330,11.6,15.2,3.6
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",11335,12965,860,540,7.6,4.2,-3.4
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2485,2630,245,115,9.9,4.4,-5.5
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",780,765,80,40,10.3,5.2,-5.1
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",7430,8170,580,410,7.8,5.0,-2.8
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",1415,2165,35,15,2.5,0.7,-1.8
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",30540,31285,5215,4520,17.1,14.4,-2.7
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6125,5330,1505,975,24.6,18.3,-6.3
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1690,1620,425,335,25.1,20.7,-4.4
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",20100,19725,3080,2400,15.3,12.2,-3.1
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",4315,6230,635,1150,14.7,18.5,3.8
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",30540,31285,2630,1620,8.6,5.2,-3.4
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6125,5330,840,325,13.7,6.1,-7.6
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1690,1620,260,80,15.4,4.9,-10.5
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",20095,19725,1745,1230,8.7,6.2,-2.5
"015","Corner Brook","CA","Newfoundland and Labrador","10","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",4315,6235,45,70,1.0,1.1,0.1
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",58925,67570,8415,11550,14.3,17.1,2.8
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",12720,13570,2300,2950,18.1,21.7,3.6
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",3460,4300,700,1005,20.2,23.4,3.2
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",38630,42820,5110,6835,13.2,16.0,2.8
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",7570,11180,1005,1770,13.3,15.8,2.5
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",58925,67570,5465,6065,9.3,9.0,-0.3
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",12720,13570,1280,1380,10.1,10.2,0.1
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",3460,4305,455,455,13.2,10.6,-2.6
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",38630,42820,3760,4395,9.7,10.3,0.6
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",7570,11180,425,290,5.6,2.6,-3.0
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",15850,16210,2665,3180,16.8,19.6,2.8
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",3510,3250,840,850,23.9,26.2,2.3
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1040,950,285,290,27.4,30.5,3.1
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",9850,9595,1430,1545,14.5,16.1,1.6
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2490,3370,390,785,15.7,23.3,7.6
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",15850,16210,1140,940,7.2,5.8,-1.4
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",3510,3250,360,230,10.3,7.1,-3.2
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1040,945,140,90,13.5,9.5,-4.0
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",9855,9595,740,655,7.5,6.8,-0.7
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2490,3370,45,50,1.8,1.5,-0.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",13855,12550,3045,2630,22.0,21.0,-1.0
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2775,1940,880,540,31.7,27.8,-3.9
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",720,565,300,200,41.7,35.4,-6.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",8790,7825,1750,1400,19.9,17.9,-2.0
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2290,2785,410,690,17.9,24.8,6.9
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",13855,12555,1455,1005,10.5,8.0,-2.5
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2775,1945,420,210,15.1,10.8,-4.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",720,565,140,80,19.4,14.2,-5.2
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",8790,7825,1010,740,11.5,9.5,-2.0
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2290,2790,25,55,1.1,2.0,0.9
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",367785,397375,53475,58825,14.5,14.8,0.3
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",74950,72900,13625,13690,18.2,18.8,0.6
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",21840,23870,4420,5090,20.2,21.3,1.1
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",250695,264835,35375,38000,14.1,14.3,0.2
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",42145,59640,4470,7135,10.6,12.0,1.4
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",367665,397370,39850,38240,10.8,9.6,-1.2
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",74825,72900,8895,7785,11.9,10.7,-1.2
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",21770,23875,3040,2985,14.0,12.5,-1.5
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",250690,264835,29385,28880,11.7,10.9,-0.8
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",42140,59640,1570,1570,3.7,2.6,-1.1
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",25750,25890,5135,5005,19.9,19.3,-0.6
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",5630,4930,1600,1270,28.4,25.8,-2.6
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1590,1500,530,465,33.3,31.0,-2.3
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",16270,15805,3005,2725,18.5,17.2,-1.3
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",3850,5155,525,1015,13.6,19.7,6.1
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",25725,25890,2450,1820,9.5,7.0,-2.5
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",5605,4930,655,430,11.7,8.7,-3.0
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1575,1500,235,165,14.9,11.0,-3.9
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",16270,15805,1655,1315,10.2,8.3,-1.9
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",3845,5155,135,80,3.5,1.6,-1.9
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",43805,44090,7810,8305,17.8,18.8,1.0
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",9290,8270,2075,1980,22.3,23.9,1.6
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2470,2490,615,725,24.9,29.1,4.2
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",27695,26770,4725,4565,17.1,17.1,0.0
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",6825,9050,1015,1760,14.9,19.4,4.5
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",43790,44090,3760,2985,8.6,6.8,-1.8
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",9275,8265,920,650,9.9,7.9,-2.0
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2470,2490,240,235,9.7,9.4,-0.3
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",27695,26775,2655,2225,9.6,8.3,-1.3
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",6820,9050,185,110,2.7,1.2,-1.5
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",35305,33310,6975,6355,19.8,19.1,-0.7
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",7090,6230,1850,1570,26.1,25.2,-0.9
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1995,1880,650,535,32.6,28.5,-4.1
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",22595,20055,4230,3410,18.7,17.0,-1.7
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",5625,7025,900,1375,16.0,19.6,3.6
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",35280,33310,3125,2210,8.9,6.6,-2.3
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",7065,6230,770,530,10.9,8.5,-2.4
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1985,1880,295,195,14.9,10.4,-4.5
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",22595,20055,2215,1570,9.8,7.8,-2.0
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",5625,7030,140,105,2.5,1.5,-1.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",100700,92555,21405,18245,21.3,19.7,-1.6
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",19640,15270,6475,4465,33.0,29.2,-3.8
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",5000,4405,1890,1575,37.8,35.8,-2.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",63440,56230,12220,9805,19.3,17.4,-1.9
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",17620,21060,2705,3975,15.4,18.9,3.5
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",100675,92555,12270,7650,12.2,8.3,-3.9
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",19615,15270,3625,1910,18.5,12.5,-6.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",5000,4405,1205,690,24.1,15.7,-8.4
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",63440,56230,7865,5405,12.4,9.6,-2.8
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",17620,21060,780,335,4.4,1.6,-2.8
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",1555,1365,415,415,26.7,30.4,3.7
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",300,235,75,60,25.0,25.5,0.5
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",75,80,30,20,40.0,25.0,-15.0
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",1045,860,290,235,27.8,27.3,-0.5
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income measure, after-tax (LIM-AT)","65 years and over",210,270,45,115,21.4,42.6,21.2
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",1555,1365,195,145,12.5,10.6,-1.9
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",300,235,45,25,15.0,10.6,-4.4
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",75,80,25,10,33.3,12.5,-20.8
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",1045,855,140,120,13.4,14.0,0.6
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",210,270,10,5,4.8,1.9,-2.9
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",1385,1710,390,395,28.2,23.1,-5.1
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",325,370,95,95,29.2,25.7,-3.5
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",110,120,20,40,18.2,33.3,15.1
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",870,1010,225,215,25.9,21.3,-4.6
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",190,335,60,80,31.6,23.9,-7.7
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",1390,1710,195,145,14.0,8.5,-5.5
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",325,370,70,35,21.5,9.5,-12.0
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",110,120,25,15,22.7,12.5,-10.2
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",870,1010,120,95,13.8,9.4,-4.4
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",190,335,0,15,0.0,4.5,
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",287020,327390,33645,40170,11.7,12.3,0.6
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",66380,72225,8370,9540,12.6,13.2,0.6
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",19220,24645,2935,3485,15.3,14.1,-1.2
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",193175,212940,21665,24750,11.2,11.6,0.4
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",27470,42230,3610,5880,13.1,13.9,0.8
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",286950,327390,30670,29405,10.7,9.0,-1.7
