"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",20875,20070,6850,5790,32.8,28.8,-4.0
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4215,3280,2005,1235,47.6,37.7,-9.9
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",980,900,545,355,55.6,39.4,-16.2
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",13350,12165,3830,3020,28.7,24.8,-3.9
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",3305,4625,1020,1535,30.9,33.2,2.3
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",20875,20070,3230,1780,15.5,8.9,-6.6
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4210,3275,950,365,22.6,11.1,-11.5
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",980,900,260,100,26.5,11.1,-15.4
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",13350,12165,2225,1345,16.7,11.1,-5.6
"1004","Division No.  4","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",3310,4625,45,65,1.4,1.4,0.0
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",40225,41300,7655,6435,19.0,15.6,-3.4
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",7995,7010,2065,1370,25.8,19.5,-6.3
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2180,2110,615,475,28.2,22.5,-5.7
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",26415,25750,4570,3240,17.3,12.6,-4.7
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",5820,8540,1020,1820,17.5,21.3,3.8
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",40220,41300,3575,2150,8.9,5.2,-3.7
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",7980,7010,1090,475,13.7,6.8,-6.9
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2175,2110,320,135,14.7,6.4,-8.3
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",26415,25750,2415,1575,9.1,6.1,-3.0
"1005","Division No.  5","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",5820,8540,65,100,1.1,1.2,0.1
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",35600,37635,7570,6345,21.3,16.9,-4.4
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",7200,6795,2085,1460,29.0,21.5,-7.5
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2125,1910,625,465,29.4,24.3,-5.1
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",23190,23180,4640,3370,20.0,14.5,-5.5
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",5205,7665,840,1505,16.1,19.6,3.5
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",35595,37635,3620,2180,10.2,5.8,-4.4
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",7200,6795,1025,490,14.2,7.2,-7.0
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2125,1905,350,160,16.5,8.4,-8.1
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",23190,23175,2500,1610,10.8,6.9,-3.9
"1006","Division No.  6","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",5200,7665,90,90,1.7,1.2,-0.5
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",34995,33530,7820,5970,22.3,17.8,-4.5
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6405,5340,1635,1035,25.5,19.4,-6.1
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1685,1585,460,335,27.3,21.1,-6.2
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",22770,20430,4725,2760,20.8,13.5,-7.3
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",5825,7760,1460,2170,25.1,28.0,2.9
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",34995,33535,2980,1360,8.5,4.1,-4.4
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6405,5340,655,275,10.2,5.1,-5.1
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1690,1585,195,85,11.5,5.4,-6.1
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",22770,20430,2270,1020,10.0,5.0,-5.0
"1007","Division No.  7","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",5820,7765,55,70,0.9,0.9,0.0
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",38455,35190,9990,7760,26.0,22.1,-3.9
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6995,5235,2320,1135,33.2,21.7,-11.5
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1680,1355,615,340,36.6,25.1,-11.5
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",25160,21120,5690,3300,22.6,15.6,-7.0
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",6295,8835,1975,3320,31.4,37.6,6.2
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",38455,35190,3350,1495,8.7,4.2,-4.5
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6995,5235,885,255,12.7,4.9,-7.8
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1680,1355,240,75,14.3,5.5,-8.8
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",25160,21120,2315,1135,9.2,5.4,-3.8
"1008","Division No.  8","Census division","Newfoundland and Labrador","10",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",6295,8835,145,105,2.3,1.2,-1.1
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",17895,15335,4095,2525,22.9,16.5,-6.4
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",3285,2210,875,350,26.6,15.8,-10.8
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",840,565,255,100,30.4,17.7,-12.7
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",11920,9425,2410,915,20.2,9.7,-10.5
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2695,3700,810,1255,30.1,33.9,3.8
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",17895,15340,1085,355,6.1,2.3,-3.8
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",3285,2210,200,65,6.1,2.9,-3.2
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",840,565,50,20,6.0,3.5,-2.5
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",11920,9425,870,265,7.3,2.8,-4.5
"1009","Division No.  9","Census division","Newfoundland and Labrador","10",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2690,3705,15,25,0.6,0.7,0.1
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",23070,22380,2615,1615,11.3,7.2,-4.1
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",5635,4885,930,430,16.5,8.8,-7.7
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1425,1640,315,145,22.1,8.8,-13.3
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",16060,15065,1435,745,8.9,4.9,-4.0
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",1380,2425,245,440,17.8,18.1,0.3
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",23050,22375,1235,560,5.4,2.5,-2.9
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",5615,4885,420,155,7.5,3.2,-4.3
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1420,1640,140,55,9.9,3.4,-6.5
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",16055,15065,790,370,4.9,2.5,-2.4
"1010","Division No. 10","Census division","Newfoundland and Labrador","10",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",1380,2425,25,35,1.8,1.4,-0.4
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income measure, after-tax (LIM-AT)","Total - Age groups",2415,2555,590,540,24.4,21.1,-3.3
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income measure, after-tax (LIM-AT)","0 to 17 years",790,670,230,140,29.1,20.9,-8.2
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income measure, after-tax (LIM-AT)","0 to 5 years",225,245,75,70,33.3,28.6,-4.7
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income measure, after-tax (LIM-AT)","18 to 64 years",1500,1680,325,345,21.7,20.5,-1.2
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income measure, after-tax (LIM-AT)","65 years and over",125,205,35,55,28.0,26.8,-1.2
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",2410,2560,235,95,9.8,3.7,-6.1
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",790,675,90,15,11.4,2.2,-9.2
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",220,245,25,10,11.4,4.1,-7.3
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",1500,1680,145,75,9.7,4.5,-5.2
"1011","Division No. 11","Census division","Newfoundland and Labrador","10",13.0,"01100","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",125,210,0,5,0.0,2.4,
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",18350,16655,3345,2960,18.2,17.8,-0.4
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4210,3135,1025,760,24.3,24.2,-0.1
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1015,945,260,250,25.6,26.5,0.9
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",11465,9960,1715,1410,15.0,14.2,-0.8
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2675,3565,605,790,22.6,22.2,-0.4
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",18355,16655,990,665,5.4,4.0,-1.4
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4215,3135,305,170,7.2,5.4,-1.8
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1010,945,70,45,6.9,4.8,-2.1
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",11470,9960,645,450,5.6,4.5,-1.1
"1101","Kings","County","Prince Edward Island","11",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2675,3565,40,45,1.5,1.3,-0.2
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",70885,79770,10195,13330,14.4,16.7,2.3
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",15415,15920,2730,3390,17.7,21.3,3.6
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",4250,5030,855,1155,20.1,23.0,2.9
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",46220,50250,6150,7670,13.3,15.3,2.0
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",9255,13605,1310,2270,14.2,16.7,2.5
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",70885,79775,6035,6420,8.5,8.0,-0.5
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",15415,15920,1375,1470,8.9,9.2,0.3
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",4250,5030,465,480,10.9,9.5,-1.4
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",46220,50250,4195,4635,9.1,9.2,0.1
"1102","Queens","County","Prince Edward Island","11",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",9250,13610,470,325,5.1,2.4,-2.7
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",43645,42660,7050,7170,16.2,16.8,0.6
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",10125,8460,2165,1825,21.4,21.6,0.2
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2745,2465,655,630,23.9,25.6,1.7
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",27060,25595,3680,3300,13.6,12.9,-0.7
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",6465,8615,1200,2045,18.6,23.7,5.1
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",43635,42660,2320,1645,5.3,3.9,-1.4
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",10115,8455,675,400,6.7,4.7,-2.0
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2750,2465,230,150,8.4,6.1,-2.3
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",27060,25590,1550,1130,5.7,4.4,-1.3
"1103","Prince","County","Prince Edward Island","11",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",6460,8615,95,115,1.5,1.3,-0.2
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",15375,13760,2880,2620,18.7,19.0,0.3
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",3210,2235,730,510,22.7,22.8,0.1
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",815,690,135,220,16.6,31.9,15.3
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",9695,8350,1655,1210,17.1,14.5,-2.6
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2465,3170,490,905,19.9,28.5,8.6
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",15375,13755,1080,700,7.0,5.1,-1.9
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",3210,2240,335,165,10.4,7.4,-3.0
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",815,690,80,60,9.8,8.7,-1.1
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",9700,8350,710,475,7.3,5.7,-1.6
"1201","Shelburne","County","Nova Scotia","12",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2465,3170,35,65,1.4,2.1,0.7
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",25605,23745,4920,4705,19.2,19.8,0.6
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",5425,4160,1385,1090,25.5,26.2,0.7
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1480,1180,430,350,29.1,29.7,0.6
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",16160,14270,2745,2295,17.0,16.1,-0.9
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",4025,5315,790,1310,19.6,24.6,5.0
"1202","Yarmouth","County","Nova Scotia","12",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",25595,23745,2395,1445,9.4,6.1,-3.3
